"Fecha";"Usuario";"Agencia"
"2018-01-12 09:04:33";"admin";
"2018-01-12 09:16:02";"admin";
"2018-01-12 11:23:45";"admin";
"2018-01-12 11:56:03";"admin";
"2018-01-13 17:57:39";"admin";
"2018-01-13 18:14:40";"admin";
"2018-01-13 18:18:15";"admin";
"2018-01-13 18:18:22";"admin";
"2018-02-02 13:17:32";"admin";
"2018-02-02 13:25:30";"admin";
"2018-02-02 13:30:48";"admin";
"2018-02-02 13:38:49";"admin";
"2018-02-02 13:39:39";"admin";
"2018-02-13 17:15:57";"admin";
"2018-02-15 17:00:48";"admin";
"2018-02-21 08:46:09";"admin";
"2018-02-21 10:08:21";"admin";
"2018-02-21 10:30:39";"admin";
"2018-02-26 15:33:18";"admin";
"2018-03-01 15:05:06";"admin";
"2018-03-02 08:18:23";"admin";
"2018-03-09 10:20:09";"admin";
"2018-03-09 10:27:37";"admin";
"2018-04-05 11:18:55";"admin";
"2018-04-05 16:44:56";"admin";
"2018-04-20 08:51:46";"admin";
"2018-05-07 15:34:34";"admin";
